"ID","Symbol","Name","Expression","Other databases"
"10157","AASS","aminoadipate-semialdehyde synthase","Under-expressed","GA:Sc"
"21","ABCA3","ATP binding cassette subfamily A member 3","Over-expressed",""
"171586","ABHD3","abhydrolase domain containing 3, phospholipase","Under-expressed",""
"63874","ABHD4","abhydrolase domain containing 4, N-acyl phospholipase B","Over-expressed","GA:Hsµ"
"86","ACTL6A","actin like 6A","Under-expressed","GA:Sc"
"79913","ACTR5","actin related protein 5","Under-expressed",""
"98","ACYP2","acylphosphatase 2","Over-expressed",""
"8728","ADAM19","ADAM metallopeptidase domain 19","Over-expressed",""
"8745","ADAM23","ADAM metallopeptidase domain 23","Over-expressed",""
"11096","ADAMTS5","ADAM metallopeptidase with thrombospondin type 1 motif 5","Over-expressed",""
"11174","ADAMTS6","ADAM metallopeptidase with thrombospondin type 1 motif 6","Under-expressed",""
"166647","ADGRA3","adhesion G protein-coupled receptor A3","Under-expressed",""
"51094","ADIPOR1","adiponectin receptor 1","Over-expressed",""
"158","ADSL","adenylosuccinate lyase","Under-expressed",""
"165","AEBP1","AE binding protein 1","Under-expressed",""
"23382","AHCYL2","adenosylhomocysteinase like 2","Over-expressed","GA:DmGA:Dm"
"113146","AHNAK2","AHNAK nucleoprotein 2","Over-expressed",""
"50808","AK3","adenylate kinase 3","Over-expressed",""
"9590","AKAP12","A-kinase anchoring protein 12","Under-expressed",""
"231","AKR1B1","aldo-keto reductase family 1 member B","Over-expressed","GA:ScCA:Hs"
"121642","ALKBH2","alkB homolog 2, alpha-ketoglutarate dependent dioxygenase","Under-expressed",""
"10189","ALYREF","Aly/REF export factor","Under-expressed",""
"272","AMPD3","adenosine monophosphate deaminase 3","Over-expressed","GA:ScGA:Hsµ"
"273","AMPH","amphiphysin","Under-expressed",""
"284","ANGPT1","angiopoietin 1","Over-expressed",""
"51129","ANGPTL4","angiopoietin like 4","Over-expressed","DR:Mm"
"27063","ANKRD1","ankyrin repeat domain 1","Over-expressed",""
"147463","ANKRD29","ankyrin repeat domain 29","Over-expressed",""
"54443","ANLN","anillin actin binding protein","Under-expressed","CA:Hs"
"55129","ANO10","anoctamin 10","Over-expressed",""
"8125","ANP32A","acidic nuclear phosphoprotein 32 family member A","Under-expressed",""
