Dataset,Species,Condition,Pathway,Gene,Log2FC,P_Value,Direction
GSE21942,Human,Multiple Sclerosis,Hippo_Signaling,STK4,0.029,0.6068,UP
GSE21942,Human,Multiple Sclerosis,Hippo_Signaling,LATS1,0.041,0.5331,UP
GSE21942,Human,Multiple Sclerosis,Hippo_Signaling,MOB1A,-0.283,0.0002,DOWN
GSE21942,Human,Multiple Sclerosis,Hippo_Signaling,WWTR1,0.009,0.8843,UP
GSE21942,Human,Multiple Sclerosis,Hippo_Signaling,STK3,-0.223,0.0521,DOWN
GSE21942,Human,Multiple Sclerosis,Hippo_Signaling,NF2,-0.058,0.1694,DOWN
GSE21942,Human,Multiple Sclerosis,Hippo_Signaling,AMOT,0.025,0.0874,UP
GSE21942,Human,Multiple Sclerosis,Hippo_Signaling,YAP1,0.03,0.457,UP
GSE21942,Human,Multiple Sclerosis,Hippo_Signaling,SAV1,0.465,0.0068,UP
GSE21942,Human,Multiple Sclerosis,Hippo_Signaling,LATS2,0.046,0.7559,UP
GSE21942,Human,Multiple Sclerosis,Hippo_Signaling,MOB1B,-0.503,0.0002,DOWN
GSE21942,Human,Multiple Sclerosis,Memory_Synaptic,PRKCZ,0.249,0.0034,UP
GSE21942,Human,Multiple Sclerosis,Memory_Synaptic,CREB1,-0.051,0.4052,DOWN
GSE21942,Human,Multiple Sclerosis,Memory_Synaptic,DLG4,-0.027,0.4163,DOWN
GSE21942,Human,Multiple Sclerosis,Memory_Synaptic,GRIN1,-0.011,0.7561,DOWN
GSE21942,Human,Multiple Sclerosis,Memory_Synaptic,BDNF,-0.106,0.1162,DOWN
GSE21942,Human,Multiple Sclerosis,Memory_Synaptic,CAMK2A,0.02,0.3473,UP
GSE21942,Human,Multiple Sclerosis,Memory_Synaptic,ARC,0.164,0.0765,UP
GSE21942,Human,Multiple Sclerosis,Memory_Synaptic,GRIN2B,-0.001,0.9765,DOWN
GSE21942,Human,Multiple Sclerosis,Memory_Synaptic,SYP,0.029,0.6886,UP
GSE21942,Human,Multiple Sclerosis,Autophagy_Proteostasis,BECN1,-0.044,0.3222,DOWN
