Dataset,Species,Condition,Hallmark,Gene,Log2FC,P_Value,Direction
GSE21942,Human,Multiple Sclerosis,Genomic_Instability,ATM,-0.521,0.0008,DOWN
GSE21942,Human,Multiple Sclerosis,Genomic_Instability,TP53,-0.317,0.0013,DOWN
GSE21942,Human,Multiple Sclerosis,Genomic_Instability,XRCC1,-0.206,0.0307,DOWN
GSE21942,Human,Multiple Sclerosis,Genomic_Instability,BRCA1,0.065,0.2153,UP
GSE21942,Human,Multiple Sclerosis,Genomic_Instability,PARP1,-0.099,0.2237,DOWN
GSE21942,Human,Multiple Sclerosis,Genomic_Instability,ATR,-0.147,0.0398,DOWN
GSE21942,Human,Multiple Sclerosis,Telomere_Attrition,TERT,0.062,0.374,UP
GSE21942,Human,Multiple Sclerosis,Telomere_Attrition,POT1,0.001,0.9889,UP
GSE21942,Human,Multiple Sclerosis,Telomere_Attrition,TINF2,-0.104,0.0227,DOWN
GSE21942,Human,Multiple Sclerosis,Epigenetic_Alterations,HDAC1,-0.078,0.1347,DOWN
GSE21942,Human,Multiple Sclerosis,Epigenetic_Alterations,DNMT1,0.11,0.2421,UP
GSE21942,Human,Multiple Sclerosis,Epigenetic_Alterations,KAT2A,0.332,0.0012,UP
GSE21942,Human,Multiple Sclerosis,Epigenetic_Alterations,EZH2,0.107,0.2997,UP
GSE21942,Human,Multiple Sclerosis,Epigenetic_Alterations,DNMT3A,0.288,0.0099,UP
GSE21942,Human,Multiple Sclerosis,Epigenetic_Alterations,SIRT1,0.021,0.7835,UP
GSE21942,Human,Multiple Sclerosis,Epigenetic_Alterations,DNMT3B,0.103,0.227,UP
GSE21942,Human,Multiple Sclerosis,Loss_of_Proteostasis,UBB,0.269,0.0094,UP
GSE21942,Human,Multiple Sclerosis,Loss_of_Proteostasis,HSPA1A,-0.514,0.0,DOWN
GSE21942,Human,Multiple Sclerosis,Loss_of_Proteostasis,LAMP2,-0.307,0.0001,DOWN
GSE21942,Human,Multiple Sclerosis,Loss_of_Proteostasis,ATG5,-0.024,0.6445,DOWN
GSE21942,Human,Multiple Sclerosis,Loss_of_Proteostasis,PSMC1,0.102,0.0464,UP
GSE21942,Human,Multiple Sclerosis,Loss_of_Proteostasis,HSP90AA1,-0.125,0.0888,DOWN
GSE21942,Human,Multiple Sclerosis,Nutrient_Sensing,PRKAA1,-0.046,0.5144,DOWN
GSE21942,Human,Multiple Sclerosis,Nutrient_Sensing,MTOR,0.189,0.012,UP
GSE21942,Human,Multiple Sclerosis,Nutrient_Sensing,IGF1R,0.367,0.1305,UP
GSE21942,Human,Multiple Sclerosis,Nutrient_Sensing,FOXO3,0.294,0.1702,UP
GSE21942,Human,Multiple Sclerosis,Nutrient_Sensing,IGF1,0.007,0.7077,UP
GSE21942,Human,Multiple Sclerosis,Nutrient_Sensing,SIRT1,0.021,0.7835,UP
GSE21942,Human,Multiple Sclerosis,Mitochondrial_Dysfunction,PARK2,0.036,0.049,UP
GSE21942,Human,Multiple Sclerosis,Mitochondrial_Dysfunction,SOD2,-0.071,0.5319,DOWN
GSE21942,Human,Multiple Sclerosis,Mitochondrial_Dysfunction,PPARGC1A,0.189,0.0407,UP
GSE21942,Human,Multiple Sclerosis,Mitochondrial_Dysfunction,TFAM,-0.256,0.0014,DOWN
GSE21942,Human,Multiple Sclerosis,Mitochondrial_Dysfunction,PINK1,-0.021,0.8733,DOWN
GSE21942,Human,Multiple Sclerosis,Cellular_Senescence,SERPINE1,0.089,0.2353,UP
GSE21942,Human,Multiple Sclerosis,Cellular_Senescence,GLB1,-0.159,0.1335,DOWN
GSE21942,Human,Multiple Sclerosis,Cellular_Senescence,TP53,-0.317,0.0013,DOWN
GSE21942,Human,Multiple Sclerosis,Cellular_Senescence,CDKN1A,0.403,0.1468,UP
GSE21942,Human,Multiple Sclerosis,Cellular_Senescence,RB1,-0.067,0.3517,DOWN
GSE21942,Human,Multiple Sclerosis,Cellular_Senescence,CDKN2A,0.027,0.7185,UP
GSE21942,Human,Multiple Sclerosis,Stem_Cell_Exhaustion,TERT,0.062,0.374,UP
GSE21942,Human,Multiple Sclerosis,Stem_Cell_Exhaustion,BMI1,0.091,0.3805,UP
GSE21942,Human,Multiple Sclerosis,Stem_Cell_Exhaustion,POU5F1,0.1,0.0741,UP
GSE21942,Human,Multiple Sclerosis,Stem_Cell_Exhaustion,SOX2,0.021,0.2056,UP
GSE21942,Human,Multiple Sclerosis,Stem_Cell_Exhaustion,NANOG,0.034,0.1571,UP
GSE21942,Human,Multiple Sclerosis,Stem_Cell_Exhaustion,KLF4,-0.029,0.8276,DOWN
GSE21942,Human,Multiple Sclerosis,Altered_Intercellular_Comm,CXCL8,2.135,0.0007,UP
GSE21942,Human,Multiple Sclerosis,Altered_Intercellular_Comm,TGFB1,0.157,0.4977,UP
GSE21942,Human,Multiple Sclerosis,Altered_Intercellular_Comm,IL1B,-0.571,0.0021,DOWN
GSE21942,Human,Multiple Sclerosis,Altered_Intercellular_Comm,IL6,0.204,0.0199,UP
GSE21942,Human,Multiple Sclerosis,Altered_Intercellular_Comm,TNF,0.059,0.7925,UP
GSE21942,Human,Multiple Sclerosis,Altered_Intercellular_Comm,NFKB1,0.187,0.1175,UP
GSE8762,Human,Huntington's Disease,Genomic_Instability,ATM,0.026,0.4513,UP
GSE8762,Human,Huntington's Disease,Genomic_Instability,TP53,-0.033,0.4087,DOWN
GSE8762,Human,Huntington's Disease,Genomic_Instability,XRCC1,0.027,0.243,UP
GSE8762,Human,Huntington's Disease,Genomic_Instability,BRCA1,0.01,0.6488,UP
GSE8762,Human,Huntington's Disease,Genomic_Instability,PARP1,-0.08,0.0372,DOWN
GSE8762,Human,Huntington's Disease,Genomic_Instability,ATR,-0.031,0.3187,DOWN
GSE8762,Human,Huntington's Disease,Telomere_Attrition,TERT,0.023,0.57,UP
GSE8762,Human,Huntington's Disease,Telomere_Attrition,POT1,-0.056,0.2883,DOWN
GSE8762,Human,Huntington's Disease,Telomere_Attrition,TINF2,-0.034,0.3449,DOWN
